,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
33,AMZN241129P00217500,2024-11-25 19:08:29+00:00,217.5,16.2,15.3,16.3,-3.959999,-19.642853,4.0,2,0.46484910156250003,True,REGULAR,USD
34,AMZN241129P00220000,2024-11-25 20:29:58+00:00,220.0,18.89,17.9,19.2,-3.4000015,-15.253483,53.0,1,0.647464462890625,True,REGULAR,USD
35,AMZN241129P00222500,2024-11-22 16:18:36+00:00,222.5,24.74,20.8,21.65,0.0,0.0,1.0,1,0.532231240234375,True,REGULAR,USD
36,AMZN241129P00225000,2024-11-22 20:03:35+00:00,225.0,24.5,22.9,23.9,-3.25,-11.711712,1.0,3,0.6630893066406252,True,REGULAR,USD
37,AMZN241129P00227500,2024-11-22 18:40:02+00:00,227.5,29.7,25.3,26.7,0.0,0.0,10.0,0,0.8203142968749999,True,REGULAR,USD
38,AMZN241129P00230000,2024-11-22 16:10:00+00:00,230.0,31.7,27.85,28.75,0.0,0.0,2.0,6,0.6884796777343751,True,REGULAR,USD
39,AMZN241129P00232500,2024-11-21 20:37:57+00:00,232.5,34.07,30.75,31.75,0.0,0.0,3.0,3,0.7334011035156249,True,REGULAR,USD
40,AMZN241129P00235000,2024-11-21 20:37:57+00:00,235.0,36.59,32.8,33.9,0.0,0.0,3.0,0,0.86132951171875,True,REGULAR,USD
41,AMZN241129P00237500,2024-11-25 14:44:18+00:00,237.5,35.65,35.3,36.55,2.550003,7.703937,2.0,0,0.973633076171875,True,REGULAR,USD
42,AMZN241129P00242500,2024-11-22 15:46:16+00:00,242.5,43.9,40.4,41.45,0.0,0.0,1.0,0,1.0234423828125,True,REGULAR,USD
43,AMZN241129P00245000,2024-11-19 19:33:09+00:00,245.0,41.25,42.8,43.9,0.0,0.0,,0,1.0419969775390627,True,REGULAR,USD
44,AMZN241129P00250000,2024-11-15 18:52:05+00:00,250.0,49.2,47.85,49.2,0.0,0.0,2.0,0,1.2685583447265623,True,REGULAR,USD
45,AMZN241129P00255000,2024-11-14 20:35:50+00:00,255.0,43.39,52.85,53.7,0.0,0.0,,0,1.05859845703125,True,REGULAR,USD
46,AMZN241129P00265000,2024-11-07 19:23:03+00:00,265.0,55.5,63.1,64.2,0.0,0.0,,0,1.1367230664062502,True,REGULAR,USD
