,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
33,MSFT241129P00390000,2024-11-25 20:45:03+00:00,390.0,0.07,0.05,0.07,-0.080000006,-53.333336,667.0,3273,0.313483427734375,False,REGULAR,USD
34,MSFT241129P00392500,2024-11-25 20:44:56+00:00,392.5,0.08,0.06,0.08,-0.11,-57.894737,650.0,988,0.29492892578124996,False,REGULAR,USD
35,MSFT241129P00395000,2024-11-25 20:56:40+00:00,395.0,0.08,0.07,0.09,-0.11,-57.894737,939.0,3779,0.274421318359375,False,REGULAR,USD
36,MSFT241129P00397500,2024-11-25 20:58:59+00:00,397.5,0.1,0.09,0.1,-0.15,-60.000004,648.0,497,0.252937158203125,False,REGULAR,USD
37,MSFT241129P00400000,2024-11-25 20:59:44+00:00,400.0,0.11,0.11,0.12,-0.2,-64.51613,4187.0,5420,0.23438265625,False,REGULAR,USD
38,MSFT241129P00402500,2024-11-25 20:55:38+00:00,402.5,0.15,0.13,0.16,-0.25,-62.5,2169.0,2176,0.2192460888671875,False,REGULAR,USD
39,MSFT241129P00405000,2024-11-25 20:59:58+00:00,405.0,0.19,0.19,0.2,-0.33999997,-64.15094,2361.0,3778,0.1997150341796875,False,REGULAR,USD
40,MSFT241129P00407500,2024-11-25 20:57:29+00:00,407.5,0.29,0.26,0.29,-0.48999998,-62.82051,1799.0,1311,0.18555501953124998,False,REGULAR,USD
41,MSFT241129P00410000,2024-11-25 20:59:42+00:00,410.0,0.43,0.42,0.45,-0.74999994,-63.55932,3322.0,2518,0.1733481103515625,False,REGULAR,USD
42,MSFT241129P00412500,2024-11-25 20:59:53+00:00,412.5,0.68,0.67,0.72,-0.97999996,-59.03614,2667.0,1712,0.16211775390625,False,REGULAR,USD
43,MSFT241129P00415000,2024-11-25 20:59:44+00:00,415.0,1.18,1.11,1.2,-1.2700001,-51.83674,5906.0,2854,0.15393912475585939,False,REGULAR,USD
44,MSFT241129P00417500,2024-11-25 20:59:44+00:00,417.5,1.84,1.83,1.97,-1.5600001,-45.88235,1986.0,1366,0.14685911743164062,False,REGULAR,USD
45,MSFT241129P00420000,2024-11-25 20:57:44+00:00,420.0,3.05,2.97,3.15,-1.6499999,-35.10638,1506.0,2473,0.14270876831054688,True,REGULAR,USD
46,MSFT241129P00422500,2024-11-25 20:53:24+00:00,422.5,4.55,4.5,4.75,-1.8499999,-28.906248,572.0,385,0.14026738647460937,True,REGULAR,USD
47,MSFT241129P00425000,2024-11-25 20:57:37+00:00,425.0,6.51,5.9,6.85,-1.79,-21.566265,281.0,929,0.15161981201171876,True,REGULAR,USD
48,MSFT241129P00427500,2024-11-25 18:49:36+00:00,427.5,10.95,7.85,9.35,-2.0700006,-15.898622,74.0,236,0.188484677734375,True,REGULAR,USD
49,MSFT241129P00430000,2024-11-25 20:48:45+00:00,430.0,12.9,10.4,11.7,-1.75,-11.945393,69.0,91,0.2063067651367187,True,REGULAR,USD
50,MSFT241129P00432500,2024-11-25 20:14:52+00:00,432.5,15.78,13.1,14.15,-2.12,-11.843575,8.0,51,0.231452998046875,True,REGULAR,USD
51,MSFT241129P00435000,2024-11-25 15:05:51+00:00,435.0,19.29,15.35,16.65,-2.2599983,-10.487231,21.0,4,0.26148199462890626,True,REGULAR,USD
52,MSFT241129P00437500,2024-11-25 14:53:34+00:00,437.5,18.4,17.3,19.9,-5.8999996,-24.279833,3.0,2,0.38196418823242184,True,REGULAR,USD
53,MSFT241129P00440000,2024-11-25 19:07:49+00:00,440.0,23.5,20.75,21.7,-1.8500004,-7.2978315,16.0,46,0.327155166015625,True,REGULAR,USD
54,MSFT241129P00442500,2024-11-22 17:09:01+00:00,442.5,29.02,23.2,24.3,0.0,0.0,2.0,0,0.3711000390625,True,REGULAR,USD
55,MSFT241129P00445000,2024-11-25 20:17:24+00:00,445.0,28.13,25.1,26.75,-1.9700012,-6.5448546,67.0,40,0.3913635083007812,True,REGULAR,USD
56,MSFT241129P00447500,2024-11-22 20:27:34+00:00,447.5,33.3,27.6,29.4,0.0,0.0,8.0,6,0.44336494140625,True,REGULAR,USD
57,MSFT241129P00450000,2024-11-22 20:27:34+00:00,450.0,35.8,30.15,31.85,0.0,0.0,20.0,3,0.46289599609375004,True,REGULAR,USD
58,MSFT241129P00455000,2024-11-22 20:25:44+00:00,455.0,39.75,35.2,36.7,0.0,0.0,7.0,5,0.4880422290039063,True,REGULAR,USD
59,MSFT241129P00460000,2024-11-22 20:41:46+00:00,460.0,44.96,40.2,41.85,0.0,0.0,7.0,8,0.56836369140625,True,REGULAR,USD
60,MSFT241129P00462500,2024-11-22 20:41:43+00:00,462.5,47.63,42.6,44.4,0.0,0.0,3.0,3,0.6035195898437502,True,REGULAR,USD
61,MSFT241129P00465000,2024-11-22 20:41:46+00:00,465.0,49.98,45.15,46.8,0.0,0.0,10.0,0,0.6088906298828126,True,REGULAR,USD
62,MSFT241129P00470000,2024-11-21 18:21:00+00:00,470.0,55.01,50.15,51.8,0.0,0.0,6.0,0,0.657229990234375,True,REGULAR,USD
63,MSFT241129P00472500,2024-11-22 20:41:43+00:00,472.5,57.62,52.7,54.15,0.0,0.0,2.0,2,0.6445348046875,True,REGULAR,USD
64,MSFT241129P00475000,2024-11-22 20:41:43+00:00,475.0,60.13,55.05,56.8,0.0,0.0,2.0,0,0.7045927978515626,True,REGULAR,USD
65,MSFT241129P00480000,2024-11-22 15:53:20+00:00,480.0,66.59,60.15,61.85,0.0,0.0,1.0,0,0.762697685546875,True,REGULAR,USD
66,MSFT241129P00485000,2024-10-30 18:29:41+00:00,485.0,51.8,65.15,66.85,0.0,0.0,1.0,0,0.8085956640624999,True,REGULAR,USD
67,MSFT241129P00490000,2024-11-22 20:41:46+00:00,490.0,75.05,70.2,71.8,0.0,0.0,20.0,11,0.8403336279296875,True,REGULAR,USD
68,MSFT241129P00495000,2024-11-22 20:41:46+00:00,495.0,80.07,75.05,76.85,0.0,0.0,10.0,0,0.8969736865234373,True,REGULAR,USD
69,MSFT241129P00500000,2024-10-31 19:47:58+00:00,500.0,89.94,80.2,81.8,0.0,0.0,,0,0.9262702685546875,True,REGULAR,USD
70,MSFT241129P00505000,2024-11-21 20:38:39+00:00,505.0,91.38,85.15,86.8,0.0,0.0,2.0,0,0.9682620361328125,True,REGULAR,USD
71,MSFT241129P00510000,2024-11-21 20:38:39+00:00,510.0,96.46,90.15,91.8,0.0,0.0,1.0,0,1.0092822973632813,True,REGULAR,USD
72,MSFT241129P00515000,2024-11-21 20:38:39+00:00,515.0,101.48,95.05,96.7,0.0,0.0,,0,1.017583037109375,True,REGULAR,USD
73,MSFT241129P00525000,2024-11-21 20:38:39+00:00,525.0,111.42,105.1,106.8,0.0,0.0,1.0,0,1.1284223266601563,True,REGULAR,USD
74,MSFT241129P00530000,2024-11-21 20:38:39+00:00,530.0,116.44,110.05,111.85,0.0,0.0,,0,1.1826212744140623,True,REGULAR,USD
