,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
33,MSFT241129C00422500,2024-11-25 20:59:57+00:00,422.5,1.25,1.23,1.32,-0.07000005,-5.303034,8181.0,2983,0.15894395751953128,False,REGULAR,USD
34,MSFT241129C00425000,2024-11-25 20:59:53+00:00,425.0,0.7,0.68,0.74,-0.100000024,-12.500002,9569.0,5630,0.1601646484375,False,REGULAR,USD
35,MSFT241129C00427500,2024-11-25 20:59:32+00:00,427.5,0.37,0.37,0.4,-0.09,-19.565218,3339.0,3422,0.16309430664062502,False,REGULAR,USD
36,MSFT241129C00430000,2024-11-25 20:59:42+00:00,430.0,0.2,0.2,0.23,-0.059999987,-23.076918,6540.0,5651,0.17017431396484378,False,REGULAR,USD
37,MSFT241129C00432500,2024-11-25 20:59:46+00:00,432.5,0.14,0.11,0.14,0.0,0.0,2658.0,1146,0.17920742675781248,False,REGULAR,USD
38,MSFT241129C00435000,2024-11-25 20:59:26+00:00,435.0,0.08,0.07,0.09,-0.020000003,-20.000002,2068.0,3072,0.18946123046875002,False,REGULAR,USD
39,MSFT241129C00437500,2024-11-25 20:58:04+00:00,437.5,0.05,0.04,0.06,-0.009999998,-16.666662,244.0,618,0.20020331054687499,False,REGULAR,USD
40,MSFT241129C00440000,2024-11-25 20:55:46+00:00,440.0,0.04,0.03,0.04,0.0,0.0,480.0,3598,0.20996883789062498,False,REGULAR,USD
41,MSFT241129C00442500,2024-11-25 20:08:34+00:00,442.5,0.01,0.01,0.02,-0.03,-75.0,171.0,1205,0.21094539062499998,False,REGULAR,USD
42,MSFT241129C00445000,2024-11-25 20:46:28+00:00,445.0,0.02,0.01,0.02,-0.01,-33.333336,181.0,1596,0.2304764453125,False,REGULAR,USD
43,MSFT241129C00447500,2024-11-25 20:57:13+00:00,447.5,0.01,0.0,0.02,-0.01,-50.0,49.0,158,0.2500075,False,REGULAR,USD
44,MSFT241129C00450000,2024-11-25 20:52:07+00:00,450.0,0.01,0.0,0.01,-0.02,-66.66667,318.0,2394,0.2500075,False,REGULAR,USD
45,MSFT241129C00452500,2024-11-22 18:12:56+00:00,452.5,0.02,0.0,0.02,0.0,0.0,2.0,23,0.28516339843749994,False,REGULAR,USD
46,MSFT241129C00455000,2024-11-25 17:33:58+00:00,455.0,0.01,0.0,0.01,-0.01,-50.0,7.0,1119,0.28125718749999995,False,REGULAR,USD
47,MSFT241129C00457500,2024-11-22 20:29:32+00:00,457.5,0.01,0.0,0.01,-0.01,-50.0,10.0,407,0.3007882421875,False,REGULAR,USD
48,MSFT241129C00460000,2024-11-25 17:31:21+00:00,460.0,0.01,0.0,0.01,0.0,0.0,12.0,1231,0.31641308593749995,False,REGULAR,USD
49,MSFT241129C00462500,2024-11-20 16:20:04+00:00,462.5,0.02,0.0,0.01,0.0,0.0,2.0,3,0.335944140625,False,REGULAR,USD
50,MSFT241129C00465000,2024-11-22 14:45:55+00:00,465.0,0.01,0.0,0.01,0.0,0.0,4.0,893,0.35156898437499995,False,REGULAR,USD
51,MSFT241129C00467500,2024-11-20 19:55:00+00:00,467.5,0.02,0.0,0.01,0.0,0.0,,1,0.367193828125,False,REGULAR,USD
52,MSFT241129C00470000,2024-11-25 20:43:35+00:00,470.0,0.01,0.0,0.01,0.0,0.0,211.0,753,0.38281867187499996,False,REGULAR,USD
53,MSFT241129C00472500,2024-11-20 18:11:10+00:00,472.5,0.02,0.0,0.01,0.0,0.0,1.0,2,0.398443515625,False,REGULAR,USD
54,MSFT241129C00475000,2024-11-25 18:50:55+00:00,475.0,0.01,0.0,0.01,0.0,0.0,2.0,180,0.414068359375,False,REGULAR,USD
55,MSFT241129C00477500,2024-11-25 20:08:33+00:00,477.5,0.01,0.0,0.01,0.0,0.0,10.0,5,0.42969320312500003,False,REGULAR,USD
56,MSFT241129C00480000,2024-11-19 17:11:46+00:00,480.0,0.01,0.0,0.01,0.0,0.0,1.0,257,0.445318046875,False,REGULAR,USD
57,MSFT241129C00485000,2024-11-20 17:41:11+00:00,485.0,0.01,0.0,0.01,0.0,0.0,2.0,202,0.476567734375,False,REGULAR,USD
58,MSFT241129C00490000,2024-11-20 14:47:03+00:00,490.0,0.01,0.0,0.01,0.0,0.0,1.0,72,0.500005,False,REGULAR,USD
59,MSFT241129C00495000,2024-11-25 15:23:11+00:00,495.0,0.03,0.0,0.01,0.01,50.0,1.0,65,0.500005,False,REGULAR,USD
60,MSFT241129C00500000,2024-11-19 18:55:45+00:00,500.0,0.01,0.0,0.01,0.0,0.0,1.0,212,0.5312546875,False,REGULAR,USD
61,MSFT241129C00505000,2024-11-14 15:06:34+00:00,505.0,0.01,0.0,0.01,0.0,0.0,25.0,36,0.5625043750000001,False,REGULAR,USD
62,MSFT241129C00510000,2024-11-19 14:32:52+00:00,510.0,0.01,0.0,0.01,0.0,0.0,1.0,83,0.5937540625000001,False,REGULAR,USD
63,MSFT241129C00515000,2024-11-19 14:32:43+00:00,515.0,0.01,0.0,0.01,0.0,0.0,1.0,37,0.6093789062500001,False,REGULAR,USD
64,MSFT241129C00520000,2024-11-18 18:57:35+00:00,520.0,0.01,0.0,0.01,0.0,0.0,8.0,54,0.64062859375,False,REGULAR,USD
65,MSFT241129C00525000,2024-11-20 16:42:02+00:00,525.0,0.01,0.0,0.01,0.0,0.0,3.0,16,0.6562534375000001,False,REGULAR,USD
66,MSFT241129C00530000,2024-11-25 14:40:54+00:00,530.0,0.03,0.0,0.01,0.02,200.0,10.0,113,0.6875031250000001,False,REGULAR,USD
67,MSFT241129C00535000,2024-11-22 15:58:49+00:00,535.0,0.01,0.0,0.01,0.0,0.0,1.0,7,0.7187528125,False,REGULAR,USD
68,MSFT241129C00540000,2024-10-30 14:08:24+00:00,540.0,0.03,0.0,0.01,-0.11,-78.57143,1.0,1,0.73437765625,False,REGULAR,USD
69,MSFT241129C00550000,2024-11-07 16:14:10+00:00,550.0,0.01,0.0,0.01,0.0,0.0,1.0,16,0.7812521875,False,REGULAR,USD
70,MSFT241129C00560000,2024-11-25 15:17:52+00:00,560.0,0.03,0.0,0.01,0.02,200.0,3.0,70,0.8437515624999999,False,REGULAR,USD
